Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2014,80000,Diesel,Manual,First,14,2179,138.1,7,6
2018,20492,Petrol,Manual,First,18.9,1197,82,5,6.34
2012,17000,Petrol,Automatic,Second,16.82,1998,189.08,4,22
2006,79000,Petrol,Manual,Second,13.4,1794,125,5,1.67
2014,27000,Petrol,Manual,First,14.28,1798,138.03,5,7.95
2018,28786,Petrol,Manual,First,10.4,2393,163.5,5,9.74
2011,143354,Diesel,Manual,Second,16,1997,140,7,6
2008,56000,Petrol,Manual,Second,19.5,1061, ,,1.5
2013,21000,Petrol,Automatic,First,17.44,1998,189.08,4,21.5
2014,29202,,Manual,First,,998,67.04,5,3.9
2009,73000,Diesel,Manual,Second,21.1,1248,73.9,5,2.35
2012,74000,Diesel,Manual,Second,22.07,1199,73.9,5,2.65
2011,65423,Petrol,Manual,First,20.36,1197,78.9,5,3.16
2009,65000,Petrol,Manual,Second,19,998,66.1,5,2.05
2013,83875,,Manual,Second,,998,58.16,5,2.95
2014,55277,Petrol,Manual,First,20.51,998,67.04,5,3.9
2017,50808,Diesel,Manual,Second,24.2,1498,98.6,7,6.68
2017,52000,Petrol,Manual,Second,21.1,814,55.2,5,3.5
2017,32000,Petrol,Automatic,First,14.84,1598,103.52,5,8.11
2017,25000,Diesel,Manual,First,28.09,1248,88.5,5,8.3
2016,23218,Diesel,Automatic,First,15.26,2143,203.2,5,45.61
2010,84000,Diesel,Automatic,First,20,1968,138.1,5,4.45
2017,40000,Diesel,Manual,First,24.3,1248,88.5,5,7.85
2011,17000,,Manual,First,,1086,62.1,5,3.1
2014,25135,Diesel,Manual,First,24,1120,70,5,3.75
2017,65000,Diesel,Manual,First,25.47,1248,88.5,7,7.65
2013,40000,Petrol,Manual,First,17,1197,80,5,4.9
2018,24500,Diesel,Automatic,First,16,2179,140,7,16.52
2016,56674,Petrol,Automatic,First,13.7,1798,157.75,5,14.05
2016,51950,Petrol,Manual,First,20.73,1373,91.1,5,6.75
2016,51000,Diesel,Manual,First,19.67,1582,126.2,5,9.2
2012,150000,Diesel,Manual,Third,23.59,1364, ,5,3
2008,114750,Petrol,Manual,Second,17,1497,118,5,2.75
2016,107890,Diesel,Manual,First,13.5,2198,157.7,7,20.5
2012,64000,Diesel,Manual,First,21.9,1396,90,5,4.25
2016,21460,Petrol,Manual,First,17,1497,121.36,5,6
2015,29634,Petrol,Manual,Second,17,1197,80,5,6
2008,52000,Petrol,Manual,First,16.1,1298,88.2,5,2.41
2015,33000,Petrol,Automatic,First,19,1199,88.7,5,7.25
2014,89230,Diesel,Manual,First,11.1,2400,200,7,23.65
2016,27000,Petrol,Manual,First,21.4,1197,83.1,5,6.5
2017,72524,Diesel,Automatic,Second,17.9,2143,136,5,18.06
2016,73000,Petrol,Manual,First,25.17,799,53.3,5,3.2
2017,21740,Petrol,Manual,First,18.16,1196,86.8,5,6.42
2015,59000,Diesel,Manual,First,13,2982,168.5,7,23
2013,83432,Petrol,Manual,First,17,1497,118,5,5.9
2014,87200,Diesel,Manual,First,15.4,2523,75,7,7.75
2012,88000,Diesel,Automatic,First,13.2,1995,170,5,15
2017,48324,Diesel,Manual,First,24.3,1248,88.5,5,9
2011,51000,Petrol,Automatic,First,11.74,1796,186,5,11.5
2012,24000,Petrol,Manual,Second,17.01,1591,121.3,5,6.2
2017,20773,Diesel,Manual,First,24,1186,73.97,5,5.92
2016,22000,Diesel,Manual,First,20.14,1498,88,5,6.29
2014,66355,Petrol,Manual,First,18,1198,86.7,5,4.12
2007,115800,Petrol,Automatic,Third,10.1,2354,152,5,3.8
2014,41125,Petrol,Manual,First,17.92,1086,62.1,5,2.7
2017,43812,Diesel,Automatic,First,15,2143,107.3,5,20.28
2014,69876,Petrol,Manual,First,18,1198,86.7,5,3.9
2014,102000,Diesel,Automatic,Second,12.55,2982,168.5,7,16.5
2011,68000,Petrol,Manual,First,17.01,1591,121.3,5,3.7
2016,12000,Diesel,Automatic,First,10.5,2993,271.23,4,79
2013,25000,Diesel,Automatic,First,22.69,1995,190,5,17.99
2013,51873,Diesel,Manual,First,21.9,1396,88.76,5,3.9
2012,72500,Diesel,Manual,First,18.5,1399,68,5,3.12
2007,83000,Petrol,Manual,First,14,1061,64,5,1.65
2015,39871,Petrol,Manual,First,19.1,1197,81.86,5,3.5
2015,82000,Diesel,Manual,Second,14.02,2179,118.3,7,4.85
2018,23152,Diesel,Automatic,First,19.27,2143,167.62,5,39.22
2007,71600,Petrol,Manual,Second,20.36,1197,78.9,5,2
2010,122000,Diesel,Manual,Second,11.5,2982,171,7,10.45
2016,29277,Petrol,Automatic,First,19.16,2494,158.2,5,27
2011,60000,Diesel,Manual,First,20,1399,68,5,2.25
2014,42000,Petrol,Manual,First,19.1,1197,81.86,5,3.45
2016,61823,Petrol,Manual,First,18.6,1197,81.83,5,6.14
2012,53000,,Manual,Second,,1086,68.05,5,2.85
2015,75000,,Manual,First,,1193,55.23,5,3.25
2011,110000,Diesel,Manual,First,28.4,1248,73.75,5,4
2010,38446,Petrol,Manual,First,17,1497,118,5,2.59
2017,33000,Diesel,Manual,First,27.39,1248,74,5,6.96
2011,42118,Petrol,Manual,First,18.3,1197, ,5,2.19
2016,70000,Petrol,Manual,First,21.1,814,55.2,5,3
2012,68038,Diesel,Manual,First,20.14,1498,88,5,3.6
2014,55012,Diesel,Manual,Second,25.44,936,57.6,5,3.7
2013,55000,Diesel,Automatic,First,22.48,1995,190,5,21.75
2017,25000,Diesel,Automatic,First,17.9,2143,170,5,45
2011,46808,Petrol,Manual,Second,24.07,998,67.1,5,3.19
2015,65743,Petrol,Manual,First,20.14,1197,81.86,5,6.2
2013,64466,Petrol,Manual,First,19.81,1086,68.05,5,3.96
2009,75648,Diesel,Manual,First,13.5,1405, ,5,0.82
2016,80000,Diesel,Manual,First,23.4,1248,74,5,4.5
2017,69000,Diesel,Manual,First,25.4,1186,73.97,5,3.55
2014,79200,Diesel,Manual,First,22.71,1461,84.8,5,5.5
2016,29477,Petrol,Manual,First,15.8,1591,121.3,5,10.25
2017,40000,Diesel,Automatic,First,12.9,2755,174.5,7,30
2014,25000,Petrol,Manual,Second,18.5,1197,85.8,5,3.5
2014,67668,Diesel,Manual,First,23.08,1461,63.12,5,3.1
2010,78000,Petrol,Manual,First,17.5,1198,75,5,3.25
2017,30000,Diesel,Manual,First,23,1498,98.96,5,8.99
2015,70623,Petrol,Manual,First,15.04,1598,103.6,5,3.99
2015,54000,Diesel,Manual,Second,19.01,1461,108.5,5,6
2015,48000,Diesel,Automatic,First,15.73,1968,174.33,5,18.25
2012,62000,Diesel,Manual,First,12.99,2494,100,7,7.75
2017,47000,Petrol,Manual,Second,17.57,1193,88.7,5,4.5
2014,171000,Diesel,Manual,First,11.5,2982,171,7,16.75
2012,108000,Diesel,Automatic,First,16.09,1995,184,5,17.5
2016,41000,Diesel,Manual,First,22.7,1598,118,5,7.7
2012,66000,Petrol,Manual,Second,17,1497,118,5,4.45
2015,144000,Diesel,Manual,First,26.59,1248,74,5,5.25
2017,23806,Diesel,Automatic,First,22.69,1995,190,5,33.66
2013,89000,Petrol,Automatic,Second,19.34,1198,76,5,2.8
2018,38852,Petrol,Automatic,First,21.4,1197,83.1,5,8.47
2018,68737,Diesel,Manual,First,26.21,1248,88.5,5,9.32
2017,23106,Diesel,Automatic,First,17.9,2143,136,5,27.43
2015,31250,Diesel,Manual,First,24.5,1498,98.6,7,6.5
2014,77795,Diesel,Manual,First,12.99,2494,100.6,8,9.5
2015,47759,Diesel,Automatic,First,14.74,2993,270.9,5,31.8
2013,67620,Petrol,Manual,Second,17.6,1496,88.8,5,4.2
2013,44378,Diesel,Manual,First,25.44,936,57.6,5,3.85
2012,64709,Petrol,Manual,Second,12.8,2354,177.6,5,6
2007,76161,Petrol,Manual,First,19.7,796,46.3,5,1.65
2013,58410,Diesel,Automatic,First,19.3,1968,141,5,14.5
2011,72000,Diesel,Manual,First,12.8,2494,102,7,7.1
2016,11000,Diesel,Automatic,First,17.11,1968,174.33,5,28
2017,45362,Diesel,Manual,First,24.3,1248,88.5,5,9.38
2016,59767,Petrol,Manual,First,18.9,1197,82,5,4.78
2003,70000,Petrol,Manual,Second,13.4,1794,125,5,1.7
2019,14233,Diesel,Automatic,First,17.6,2179,153.86,7,17.85
2010,72000,Petrol,Manual,Second,17,1197,80,5,2.75
2014,11000,Petrol,Manual,First,17.01,1591,121.3,5,5.95
2011,39000,Petrol,Manual,First,14,796,35,5,1.5
2019,19855,Petrol,Manual,First,24.7,796,47.3,5,3.8
2017,20149,Diesel,Automatic,First,19.27,2143,167.62,5,38.5
2011,70000,Petrol,Manual,First,19.81,1086,68.05,5,2.15
2010,62004,Petrol,Automatic,Second,14.67,1798,177.46,5,3.75
2016,25500,Diesel,Automatic,First,21.5,1498,108.5,5,8.95
2013,68800,Diesel,Manual,First,17.8,1248, ,5,5
2010,61700,Petrol,Manual,First,14.8,1799,130.2,5,2.95
2010,59660,Petrol,Automatic,First,12.05,1995,154,5,10.49
2007,69775,Petrol,Manual,Second,17.92,1086,62.1,5,1.85
2016,51787,Diesel,Manual,First,17.8,1248, ,5,6.45
2009,88000,Petrol,Automatic,First,11.1,2354,142,5,5.25
2014,47052,Diesel,Manual,First,20.77,1248,88.76,7,5.99
2015,69749,Diesel,Manual,First,18.6,1388,67,5,3.82
2012,79000,Diesel,Automatic,First,12.07,2967,241.4,7,39
2016,39644,Diesel,Automatic,First,17.11,1968,174.33,5,25.75
2012,137800,Diesel,Manual,First,22.3,1248,74,5,2.2
2008,120000,Diesel,Manual,Second,18.1,1493,110,5,2
2018,11000,Diesel,Automatic,First,16.1,1950,194,5,56.5
2014,18600,Diesel,Automatic,Second,22.69,1995,190,5,21
2014,116905,Diesel,Manual,First,24,1120,70,5,4
2011,32824,Petrol,Automatic,First,16.95,1197,78.9,5,3.83
2016,19148,Petrol,Manual,First,16.1,1197,85,5,5.89
2010,35008,Petrol,Manual,First,17.92,1086,62.1,5,1.36
2013,21000,Diesel,Automatic,Second,17.54,2993,313,4,44
2014,53000,,Manual,First,,1586,85.7,5,3.26
2016,36000,Petrol,Manual,First,17.43,1396,105.5,5,8
2012,56121,Diesel,Manual,First,23.4,1248,74,5,4.25
2018,30000,Diesel,Manual,First,28.4,1248,74,5,6
2016,31021,Diesel,Automatic,First,19.5,1968,141,5,16.61
2013,52600,Diesel,Manual,First,19.6,1461,108.45,5,7.26
2005,60000,Diesel,Manual,First,10.5,2179,120,8,4
2016,44001,Diesel,Automatic,First,18.12,1995,190,5,34.51
2003,101000,Petrol,Manual,Third,17.3,1061,64,5,0.95
2007,84169,Petrol,Manual,First,14,1061,64,5,2.2
2017,14001,Petrol,Manual,First,18.6,1197,81.83,5,5.75
2005,100000,,Manual,Third,,1086, ,5,1.2
2016,59000,Diesel,Automatic,First,18,2993,255,7,36.75
2009,29000,Petrol,Automatic,Second,11.7,1796,178,5,10
2014,64158,Diesel,Automatic,First,18.48,,,,17.89
2012,38800,Diesel,Manual,First,21.64,1461,84.8,5,4.05
2011,98000,Diesel,Automatic,First,12.07,2967,241.4,7,22
2017,20969,Diesel,Automatic,First,17.9,2143,136,5,27.87
2018,2900,Diesel,Manual,First,24.3,1248,88.5,5,8.75
2016,69000,Diesel,Manual,First,19.3,1248,73.9,5,4.79
2018,5833,Diesel,Manual,First,21.13,1498,108.4,5,11.92
2016,28733,Diesel,Automatic,Second,12.07,2967,241.4,7,53.11
2006,145000,Petrol,Manual,First,18.9,998,67.1,5,1.15
2014,71000,Diesel,Manual,First,25.1,1498,98.6,5,7.45
2017,12000,Petrol,Manual,First,21.1,814,55.2,5,3.5
2018,21603,Diesel,Automatic,First,13,2987,265,5,70.15
2011,65000,Petrol,Manual,Second,,,,,3.15
2013,58000,Diesel,Automatic,First,13.2,1995,170,5,19.5
2012,39000,Petrol,Automatic,Second,12.05,1995,154,5,15
2017,37712,Diesel,Manual,First,17.45,1493,100,7,7.57
2012,68000,Petrol,Manual,First,18.5,1197,85.8,5,4.4
2016,25000,Diesel,Automatic,First,15.87,2993,308.43,5,60
2010,30000,Petrol,Manual,First,18.6,1199,79.4,5,1.6
2014,68218,Petrol,Manual,First,19.1,1197,85.8,5,4.9
2014,52000,Diesel,Manual,First,20.77,1248,88.8,7,5.95
2015,63591,Diesel,Manual,First,20.45,1461,83.8,5,5.35
2014,57937,Petrol,Automatic,First,15.5,1198,86.7,5,5.4
2015,21979,Diesel,Automatic,First,17.11,1968,174.33,5,23.45
2002,99000,Diesel,Manual,Second,18.7,1896,66,5,1.9
2016,62000,Diesel,Manual,First,25.8,1498,98.6,5,6.1
2006,127001,Diesel,Manual,First,12.8,2494,102,8,4.95
2013,84600,Petrol,Manual,Second,21.1,814,55.2,5,2.5
2018,30953,Petrol,Manual,First,22.7,799,53.64,5,3.48
2012,78000,Diesel,Manual,First,22.9,1248,74,5,4.4
2008,85000,Diesel,Manual,First,9.5,2835,118.6,6,7.99
2008,79000,Diesel,Automatic,First,13.1,2400,215,5,10.99
2014,79000,Diesel,Automatic,First,12.55,2982,168.5,7,18.5
2018,48188,Diesel,Manual,First,16.3,1956,170,5,21.69
2014,67557,Diesel,Manual,First,23.4,1248,74,5,5.17
2011,103814,Diesel,Manual,Second,22.32,1582,126.32,5,4.5
2014,45128,Diesel,Manual,First,12.05,2179,120,8,6.75
2013,56075,Petrol,Manual,First,19.81,1086,68.05,5,3.12
2011,166000,Diesel,Manual,First,12.99,2494,100.6,8,8.25
2017,65367,Diesel,Automatic,First,11.36,2755,171.5,7,20.14
2013,114708,Diesel,Manual,First,12.99,2494,100,8,12.6
2015,35082,Diesel,Manual,First,23.4,1248,74,5,6.61
2016,38593,Diesel,Automatic,First,17.01,1582,126.2,5,13.23
2008,70700,Diesel,Manual,First,12.99,2494,100,8,4.75
2011,83000,Diesel,Manual,Second,20.54,1598,103.6,5,2.9
2015,120000,Diesel,Manual,First,14.8,2499,80,,5.5
2014,91586,Diesel,Automatic,Second,11.18,2696,184,7,9.47
2008,38235,Petrol,Manual,First,20.36,1197,78.9,5,1.95
2011,37000,Petrol,Manual,First,20.36,1197,78.9,5,2.2
2006,50888,Petrol,Manual,First,17,1086, ,5,1.15
2013,44000,Petrol,Manual,Second,18,1198,86.7,5,4.35
2016,54000,Petrol,Automatic,First,23.1,998,67.04,5,4.5
2013,90000,Petrol,Manual,First,18.9,1197,82,5,3.55
2015,35000,Diesel,Manual,First,19.3,1248,73.9,5,4.75
2012,47324,Petrol,Manual,Second,20.36,1197,78.9,5,4.52
2012,65148,Diesel,Automatic,First,15.06,1995,177,5,12.75
2014,57773,Diesel,Automatic,Second,17.11,1968,174.33,5,24
2014,87000,Diesel,Manual,First,20.45,1461,83.8,5,6.5
2007,179032,Diesel,Manual,First,11.56,3200,199.3,7,7.5
2016,8000,Petrol,Automatic,First,22.5,998,67,5,4.15
2007,77000,Petrol,Manual,First,13.5,1799,130,5,2.5
2016,20600,Petrol,Manual,First,18.6,1197,81.83,5,5.4
2016,13198,Petrol,Manual,First,24.07,998,67.1,5,3.15
2015,21000,Diesel,Automatic,Second,12.07,2967,241.4,7,52.5
2016,38000,Petrol,Manual,First,18.6,1197,81.83,5,5.95
2019,15379,Petrol,Automatic,First,23.84,1199,83.83,5,6.97
2011,60000,Petrol,Manual,First,20.36,1197,78.9,5,3.2
2007,70000,Petrol,Manual,First,,1086, ,5,1.12
2013,75371,Diesel,Manual,First,20.46,1461,83.8,5,6.69
2014,60000,Diesel,Manual,Second,13.49,2179,138.03,5,5.9
2009,30675,Petrol,Manual,First,18.5,1197,80,5,2.25
2013,22000,Diesel,Manual,First,23.4,1248,74,5,4.5
2015,55000,Petrol,Manual,First,22,814,55,5,2.61
2010,74213,Diesel,Automatic,First,14.84,2143,170,5,11.5
2016,15000,Petrol,Automatic,First,16.82,1998,189.08,4,35
2010,57000,Petrol,Manual,First,26,624,35,4,0.5
2015,62144,Diesel,Manual,Second,26.21,1248,88.5,5,5.75
2017,50000,Diesel,Manual,First,22,1582,126.2,5,11.5
2015,38000,Petrol,Manual,First,21.1,814,55.2,5,2.75
2016,30000,Diesel,Automatic,Second,18.12,1995,190,5,31.5
2016,38735,Petrol,Manual,First,19.4,1198,86.8,5,4.92
2012,23598,Diesel,Manual,First,23.2,1248,73.94,5,3.52
2014,70000,Diesel,Automatic,First,18.88,1995,184,5,17.55
2016,39000,Diesel,Manual,First,26.59,1248,74,5,5.8
2013,84175,Diesel,Manual,First,23.4,1248,74,5,6.95
2013,45000,Petrol,Manual,First,16.95,1498,97.6,5,2.4
2013,59302,Diesel,Automatic,First,14.39,1998,163.7,5,5.25
2012,55002,Petrol,Manual,First,17.5,1298,85.8,5,4.25
2008,128813,Diesel,Manual,First,19.09,1396,69,5,1.5
2016,46522,Diesel,Manual,First,24,1120,70,5,4.5
2014,180000,Diesel,Manual,First,22.3,1248,74,5,2.5
2006,89326,Diesel,Manual,Third,17.8,1399,68,5,1.55
2016,54000,Diesel,Manual,First,19.87,1461,83.8,5,6.5
2012,95000,Diesel,Automatic,Second,18.48,,,,18
2015,66337,Diesel,Manual,First,24,1120,70,5,4.96
2012,60000,Petrol,Manual,First,19.4,1198,86.8,5,3.25
2010,38001,Petrol,Automatic,First,12.3,1781,163.2,5,8.5
2014,73000,Petrol,Manual,Second,24.7,796,47.3,5,2.75
2011,61000,Petrol,Manual,Second,16.2,1599,103.2,5,3.4
2013,120000,Diesel,Manual,First,20.77,1248,88.8,7,7
2012,71787,Petrol,Manual,First,12.9,1598,102.5,5,3.21
2016,11554,Diesel,Manual,First,19.67,1582,126.2,5,14.25
2014,90000,Diesel,Manual,First,20.34,1498,103.2,5,6.5
2014,48104,Petrol,Manual,First,17.4,1497,117.3,5,5.49
2005,91000,Petrol,Manual,Third,16.8,1341,83,5,0.8
2007,58815,Petrol,Manual,First,17,1086, ,5,1.99
2015,33931,Petrol,Automatic,Second,18.9,1197,82,5,5.91
2019,13916,Petrol,Manual,First,18.9,1197,81.86,5,6.44
2012,90400,,Manual,First,,998,58.2,5,2.9
2015,14000,Petrol,Manual,First,18.9,1197,82,5,4.6
2007,121000,Diesel,Manual,Second,17.8,1248, ,5,2.35
2016,17560,Petrol,Manual,First,18.6,1197,81.83,5,7.21
2016,60000,Diesel,Manual,First,19.87,1461,83.8,5,8
2009,88096,Diesel,Manual,Second,19.3,1248,73.9,5,3.5
2008,178280,Diesel,Manual,First,12.8,2494,102,8,5.9
2015,19963,Petrol,Manual,Second,25.4,624,37.5,4,1.74
2019,1000,Petrol,Manual,First,18.12,1196,86.8,5,6.8
2017,8000,Petrol,Manual,First,18.6,1197,81.83,5,7.5
2016,9200,Petrol,Manual,First,15.4,1497,117.3,7,8
2015,29000,Diesel,Manual,First,27.4,1498,98.6,5,5.99
2017,27000,Diesel,Manual,First,19.67,1582,126.2,5,12.9
2018,22900,Petrol,Manual,First,21.4,1197,83.1,5,7
2014,50000,Diesel,Automatic,First,14.16,1968,174.3,5,35
2015,60207,Diesel,Manual,First,25.8,1498,98.6,5,5.5
2010,101119,Diesel,Automatic,First,11,2993,235,5,18.46
2010,42000,Petrol,Manual,First,15.6,1196,70,5,2.4
2002,93000,Petrol,Manual,Third,18.9,998,67.1,5,1
2012,60000,Petrol,Manual,Second,19.81,1086,68.05,5,2.65
2015,66122,Diesel,Automatic,First,21.66,1498,103.52,5,5.96
2015,25100,Diesel,Automatic,First,17.85,2967,300,4,75
2017,24733,Petrol,Automatic,First,15.04,1991,183,5,27.15
2008,41000,Petrol,Automatic,Second,10.4,2773,201,5,10.5
2015,30000,Petrol,Manual,First,20.73,1373,91.1,5,6.7
2013,36000,Diesel,Manual,First,22.7,1498,89.84,5,4.9
2017,40279,Diesel,Manual,First,16.5,1493,70,7,8
2018,46805,Petrol,Manual,First,24.07,998,67.1,5,3.63
2015,60000,Petrol,Manual,First,17.5,1197,85.8,5,4.8
2017,100000,Petrol,Manual,First,17.57,1193,88.7,5,4.25
2014,32986,Petrol,Manual,First,16.1,,,,4.24
2018,51530,Diesel,Automatic,First,10.91,3198,197.2,7,30.27
2013,81456,Diesel,Manual,First,15.8,2148,170,5,14.25
2012,37229,Petrol,Automatic,First,16.95,1197,78.9,5,3.41
2009,73200,Petrol,Manual,First,17,1497,118,5,2.78
2015,71826,Diesel,Automatic,First,19.3,1968,141,5,15.5
2017,129000,Diesel,Manual,First,25,1396,69,5,3
2012,82000,Petrol,Manual,First,18.9,998,67.1,5,2.3
2017,40459,Diesel,Manual,First,19.67,1582,126.2,5,13.28
2009,61964,Petrol,Manual,First,19,998,66.1,5,2.25
2011,15466,Petrol,Manual,First,22.5,998,67.04,5,3.36
2014,23000,Petrol,Manual,First,17.3,1497,117.3,7,4.25
2012,43766,Petrol,Manual,First,20.36,1197,78.9,5,4.3
2010,54000,Petrol,Automatic,First,,3597,262.6,5,6
2018,18521,Diesel,Manual,First,22.54,1396,88.73,5,9.18
2017,26400,Petrol,Manual,First,23.1,998,67.04,5,4.99
2011,31900,Petrol,Manual,First,13.4,1798,157.8,5,3.75
2010,39000,Diesel,Manual,First,20,1399,68,5,2.5
2016,45671,Diesel,Manual,First,27.3,1498,98.6,5,7.2
2016,39500,Diesel,Automatic,First,15,2143,204,5,29.5
2015,54000,Diesel,Automatic,First,17.9,2143,136,5,17.55
2012,20000,Diesel,Automatic,First,18.5,1985,163,5,12
2009,55000,Diesel,Automatic,First,11.8,2967,246.7,5,13.5
2014,48000,Diesel,Automatic,First,22.32,1582,126.32,5,5.1
2011,70000,Diesel,Automatic,First,22.69,1995,190,5,10.3
2014,62000,Diesel,Manual,First,22.32,1582,126.32,5,5.7
2014,41994,Petrol,Manual,First,22.5,998,67.04,5,3.41
2010,108882,Diesel,Manual,Second,20,1399,68,5,2.4
2017,24806,Petrol,Manual,First,18.15,1198,82,6,5.6
2006,160000,Diesel,Manual,First,17,1405,70,5,1
2017,30000,Diesel,Automatic,First,18.49,1493,100,7,8.2
2015,51000,Diesel,Automatic,First,15.17,1968,181,5,27.5
2015,64876,Petrol,Manual,First,21.5,1197,81.8,5,3.5
2016,70536,,Manual,First,,998,58.33,5,4.58
2017,25299,Diesel,Manual,First,24.3,1248,88.5,5,10.34
2006,89869,Diesel,Manual,First,12.7,2609,116.6,8,3.25
2007,103515,Diesel,Manual,Third,12.6,1991,112,7,5
2008,68282,Petrol,Manual,First,17.92,1086,62.1,5,2.25
2014,60033,Diesel,Automatic,First,18.18,2967,250,4,51.52
2018,51921,Diesel,Manual,First,24.3,1248,88.5,5,8.62
2017,18414,Diesel,Manual,First,23.4,1248,74,5,7.25
2016,40866,Petrol,Manual,First,19.5,1199,86.76,5,5.47
2014,55001,Diesel,Automatic,First,16.36,2179,187.7,5,31
2017,20469,Petrol,Automatic,First,16.82,1998,189.08,4,35.98
2017,8500,Petrol,Manual,First,21.1,814,55.2,5,3.42
2008,45000,Diesel,Automatic,Second,16.77,2967,241.38,5,11.5
2016,6000,Petrol,Manual,First,17.19,1197,81.86,5,7.25
2018,11000,Diesel,Manual,First,28.4,1248,74,5,8
2015,80064,Diesel,Manual,First,22.7,1498,89.84,5,7.33
2016,29930,Petrol,Manual,First,18.9,998,67.1,5,3.35
2013,49105,Diesel,Manual,First,20.34,1498,103.2,5,4.4
2012,55000,Petrol,Manual,First,17.6,1496,88.7,5,2.99
2015,23000,Petrol,Manual,First,18.7,1199,88.7,5,5.6
2016,54727,Diesel,Manual,First,20.14,1498,88.73,5,6.63
2018,31426,Diesel,Manual,First,21.66,1498,108.62,5,7.9
2015,53442,Petrol,Manual,First,16.8,1497,116.3,5,7
2014,28000,Petrol,Automatic,First,16.5,1198,86.8,5,4.95
2017,13412,Petrol,Automatic,First,14.3,1598,103.52,5,9.19
2011,70000,Diesel,Manual,First,16.8,1493,110,5,5.1
2015,81310,Diesel,Manual,First,21.19,1396,88.76,5,5.9
2019,13574,Petrol,Automatic,First,21.4,1197,83.1,5,9.51
2008,75000,Petrol,Manual,Second,11.1,2354,158.8,5,3.9
2014,58310,Petrol,Manual,Second,19.1,1197,85.8,5,5.39
2009,90000,Diesel,Manual,Second,19.3,1248,73.9,5,3
2012,83000,Diesel,Manual,First,23.4,1248,74,5,4.3
2017,37282,Petrol,Manual,First,20.85,1197,83.14,5,6.75
2017,23000,Petrol,Manual,First,18.9,1197,82,5,4.5
2010,82000,Diesel,Manual,First,17.8,1399,68,5,2.75
2016,31000,Diesel,Manual,First,23.9,1582,126.2,5,9
2001,200000,Petrol,Manual,First,12,,,,0.7
2014,45001,Diesel,Manual,Second,20,1399,68.05,5,2.55
2014,50446,Diesel,Manual,First,21.12,1248,88.8,5,3.54
2009,89000,Petrol,Manual,First,13.5,1799,130,5,4.25
2007,72000,Petrol,Manual,Second,19.7,796,46.3,5,1.2
2013,90000,Diesel,Automatic,First,22.48,1995,190,5,19.5
2015,76000,Diesel,Manual,Second,16,2179,140,7,12
2012,78401,Diesel,Manual,First,23.2,1248,73.94,5,3.9
2017,38426,Diesel,Manual,First,24.3,1248,88.5,5,9.13
2011,45000,Petrol,Manual,First,15.1,1196,73,7,2.25
2012,83000,Petrol,Manual,First,17.5,1197,85.8,5,3.25
2017,50170,Diesel,Automatic,First,17.01,1582,126.2,5,14.79
2010,37822,Petrol,Manual,First,22.5,998,67.04,5,2.35
2015,33517,Diesel,Manual,First,27.62,793,47,5,3.1
2014,110000,Diesel,Automatic,First,13.01,2199,194.3,7,12.9
2017,60000,Petrol,Manual,First,21.1,814,55.2,5,2.5
2013,92408,Petrol,Manual,First,18.5,1197,82.85,5,3.65
2014,45000,Petrol,Manual,First,17.1,1591,121.3,5,7.5
2013,33793,Petrol,Manual,First,18.4,1198,86.8,5,3.74
2017,26327,Petrol,Manual,First,20.4,1197,81.8,5,5.86
2018,20604,Diesel,Automatic,First,19.27,2143,167.62,5,39.62
2018,61386,Diesel,Manual,First,25.2,1248,74,5,7.05
2018,11500,Diesel,Automatic,First,28.4,1248,74,5,7.5
2012,58000,Diesel,Manual,First,25.44,936,57.6,5,2.1
2014,38000,Petrol,Automatic,First,13.7,1798,157.75,5,11.6
2012,49000,Diesel,Automatic,Second,14.84,2143,167.62,5,19.25
2017,72202,Diesel,Manual,First,13.68,2393,147.8,8,17.92
2016,7000,Petrol,Manual,First,20.36,1197,78.9,5,3.6
2014,20000,Diesel,Manual,Second,25.8,1498,98.6,5,4.5
2017,14061,Diesel,Manual,First,21.9,1396,88.76,5,7.4
2018,30706,Diesel,Automatic,First,11.57,2987,254.79,5,59.29
2011,51387,Diesel,Manual,First,12.05,2179,120,7,5.5
2006,44000,Petrol,Manual,Second,15.3,1341,83,5,1.75
2016,12208,Petrol,Manual,First,21.4,1197,83.1,5,6.75
2011,55000,Diesel,Manual,First,16.52,1991,123.7,5,3.95
2011,61600,Petrol,Manual,First,17.1,1591,121.3,5,4.2
2016,28414,Petrol,Manual,First,17,1497,118,5,8.4
2017,27853,Petrol,Automatic,First,17.21,1197,103.5,5,8.25
2013,55116,Petrol,Manual,First,19.4,1198,86.8,5,3.31
2017,26000,Diesel,Manual,First,26.59,1248,74,5,7.5
2012,45496,Petrol,Manual,First,17,1497,118,5,4.75
2013,76000,Diesel,Automatic,Second,11.18,2696,184,7,8.79
2014,136000,Petrol,Manual,First,13.1,1798,157.75,5,9.5
2009,100000,Petrol,Manual,First,,,,,1.6
2010,38127,Petrol,Manual,First,19.7,796,46.3,5,1.55
2014,82450,Diesel,Manual,First,23,1396,90,5,5.85
2014,62497,Petrol,Manual,First,15.8,1499,110,5,7.52
2011,86732,Diesel,Manual,First,23.08,1461,63.1,5,3.6
2016,27969,Petrol,Manual,First,19.4,1198,86.8,5,4.73
